#FORMAT=WebAnno TSV 3.2


#Text=INTERNATIONAL EXHIBITION OF 1862.
1-1	0-13	INTERNATIONAL	
4-12	636-637	,	
4-13	638-646	contrary	
4-14	647-649	to	
4-15	650-653	the	
4-16	654-664	experience	
4-17	665-667	cf	
4-18	668-670	he	
4-19	671-681	Exhibition	
4-20	682-684	of	
4-21	685-689	1851	
4-22	689-690	,	
4-23	691-695	when	
4-24	696-701	there	
4-25	702-705	was	
4-26	706-707	a	
4-27	708-715	surplus	
4-28	716-718	of	
4-29	719-725	nearly	
4-30	726-734	£200,000	
4-31	734-735	,	
4-32	736-741	there	
4-33	742-748	should	
4-34	749-751	be	
4-35	752-753	a	
4-36	754-758	loss	
4-37	758-759	,	
4-38	760-764	when	
4-39	765-768	tbe	
4-40	769-773	call	
4-41	774-778	will	
4-42	779-781	be	
4-43	782-783	p	
4-44	783-784	<	
4-45	784-785	o	
4-46	786-790	rata	
4-47	790-791	.	
4-48	792-794	31	
4-49	794-795	.	

#Text=Any surplus will be at the disposal ofthe guarant r«, for the promotion of uris, manufao.urjs, and commerce. 4t i. lhe rusrees and managers of tne exhibition named are :— Th E„rl Granville, E.G., lord president of the Privy Council, vice-president tf the Socitty cf Arts; the Marquis of C am o?
5-1	796-799	Any	
5-2	800-807	surplus	
5-3	808-812	will	
5-4	813-815	be	
5-5	816-818	at	
5-6	819-822	the	
5-7	823-831	disposal	
5-8	832-837	ofthe	
5-9	838-845	guarant	
5-10	846-847	r	
5-11	847-848	«	
5-12	848-849	,	
5-13	850-853	for	
5-14	854-857	the	
5-15	858-867	promotion	
5-16	868-870	of	
5-17	871-875	uris	
5-18	875-876	,	
5-19	877-889	manufao.urjs	
5-20	889-890	,	
5-21	891-894	and	
5-22	895-903	commerce	
5-23	903-904	.	
5-24	905-907	4t	
5-25	908-909	i	
5-26	909-910	.	
5-27	911-914	lhe	
5-28	915-922	rusrees	
5-29	923-926	and	
5-30	927-935	managers	
5-31	936-938	of	
5-32	939-942	tne	
5-33	943-953	exhibition	
5-34	954-959	named	
5-35	960-963	are	
5-36	964-965	:	
5-37	965-966	—	
5-38	967-969	Th	
5-39	970-971	E	
5-40	971-972	„	
5-41	972-974	rl	
5-42	975-984	Granville	
5-43	984-985	,	
5-44	986-989	E.G	
5-45	989-990	.	
5-46	990-991	,	
5-47	992-996	lord	
5-48	997-1006	president	
5-49	1007-1009	of	
5-50	1010-1013	the	
5-51	1014-1019	Privy	
5-52	1020-1027	Council	
5-53	1027-1028	,	
5-54	1029-1043	vice-president	
5-55	1044-1046	tf	
5-56	1047-1050	the	
5-57	1051-1058	Socitty	
5-58	1059-1061	cf	
5-59	1062-1066	Arts	
5-60	1066-1067	;	
5-61	1068-1071	the	
5-62	1072-1079	Marquis	
5-63	1080-1082	of	
5-64	1083-1084	C	
5-65	1085-1087	am	
5-66	1088-1089	o	
5-67	1089-1090	?	

#Text=, chairman ef the Loudon and NorthWestern Ralway; Mr.
6-1	1090-1091	,	
6-2	1092-1100	chairman	
6-3	1101-1103	ef	
6-4	1104-1107	the	
6-5	1108-1114	Loudon	
6-6	1115-1118	and	
6-7	1119-1131	NorthWestern	
6-8	1132-1138	Ralway	
6-9	1138-1139	;	
6-10	1140-1142	Mr	
6-11	1142-1143	.	

#Text=Thomas B»rtr.g, M P.; Mr.
7-1	1144-1150	Thomas	
7-2	1151-1152	B	
7-3	1152-1153	»	
7-4	1153-1158	rtr.g	
7-5	1158-1159	,	
7-6	1160-1161	M	
7-7	1162-1163	P	
7-8	1163-1164	.	
7-9	1164-1165	;	
7-10	1166-1168	Mr	
7-11	1168-1169	.	

#Text=C.
8-1	1170-1171	C	
8-2	1171-1172	.	

#Text=Wentwoiti Dilke, vice-pr-sident of the Society of Ait:— t yal commissioners for tne Exhioition of 1851; Mr.
9-1	1173-1182	Wentwoiti	
9-2	1183-1188	Dilke	
9-3	1188-1189	,	
9-4	1190-1204	vice-pr-sident	
9-5	1205-1207	of	
9-6	1208-1211	the	
9-7	1212-1219	Society	
9-8	1220-1222	of	
9-9	1223-1226	Ait	
9-10	1226-1227	:	
9-11	1227-1228	—	
9-12	1229-1230	t	
9-13	1231-1234	yal	
9-14	1235-1248	commissioners	
9-15	1249-1252	for	
9-16	1253-1256	tne	
9-17	1257-1267	Exhioition	
9-18	1268-1270	of	
9-19	1271-1275	1851	
9-20	1275-1276	;	
9-21	1277-1279	Mr	
9-22	1279-1280	.	

#Text=Thomas Fairbairn, chairman ofthe Manchester Ait Treasures Exhibition.
10-1	1281-1287	Thomas	
10-2	1288-1297	Fairbairn	
10-3	1297-1298	,	
10-4	1299-1307	chairman	
10-5	1308-1313	ofthe	
10-6	1314-1324	Manchester	
10-7	1325-1328	Ait	
10-8	1329-1338	Treasures	
10-9	1339-1349	Exhibition	
10-10	1349-1350	.	

#Text=Tb council do not propose to limit the fund ti the £250.000 named ; but, having secured that sum, thty will endeavour to increase it as much as possible.
11-1	1351-1353	Tb	
11-2	1354-1361	council	
11-3	1362-1364	do	
11-4	1365-1368	not	
11-5	1369-1376	propose	
11-6	1377-1379	to	
11-7	1380-1385	limit	
11-8	1386-1389	the	
11-9	1390-1394	fund	
11-10	1395-1397	ti	
11-11	1398-1401	the	
11-12	1402-1410	£250.000	
11-13	1411-1416	named	
11-14	1417-1418	;	
11-15	1419-1422	but	
11-16	1422-1423	,	
11-17	1424-1430	having	
11-18	1431-1438	secured	
11-19	1439-1443	that	
11-20	1444-1447	sum	
11-21	1447-1448	,	
11-22	1449-1453	thty	
11-23	1454-1458	will	
11-24	1459-1468	endeavour	
11-25	1469-1471	to	
11-26	1472-1480	increase	
11-27	1481-1483	it	
11-28	1484-1486	as	
11-29	1487-1491	much	
11-30	1492-1494	as	
11-31	1495-1503	possible	
11-32	1503-1504	.	

#Text=A areolar letter baa been adi ressed to the members of the ty, drawing their attention ts the importance of filling up th guarantee list as soon as possible, and fiote members and taeir f.iends who ace deuroua of giving t ieir assi tanee to this undertaking are requested to smd in their names to the secretary of the Soc-, ty of Arts as eai ly as possible, with the sums they ara wil.iLg to guarantee.
12-1	1505-1506	A	
12-2	1507-1514	areolar	
12-3	1515-1521	letter	
12-4	1522-1525	baa	
12-5	1526-1530	been	
12-6	1531-1534	adi	
12-7	1535-1541	ressed	
12-8	1542-1544	to	
12-9	1545-1548	the	
12-10	1549-1556	members	
12-11	1557-1559	of	
12-12	1560-1563	the	
12-13	1564-1566	ty	
12-14	1566-1567	,	
12-15	1568-1575	drawing	
12-16	1576-1581	their	
12-17	1582-1591	attention	
12-18	1592-1594	ts	
12-19	1595-1598	the	
12-20	1599-1609	importance	
12-21	1610-1612	of	
12-22	1613-1620	filling	
12-23	1621-1623	up	
12-24	1624-1626	th	
12-25	1627-1636	guarantee	
12-26	1637-1641	list	
12-27	1642-1644	as	
12-28	1645-1649	soon	
12-29	1650-1652	as	
12-30	1653-1661	possible	
12-31	1661-1662	,	
12-32	1663-1666	and	
12-33	1667-1672	fiote	
12-34	1673-1680	members	
12-35	1681-1684	and	
12-36	1685-1690	taeir	
12-37	1691-1698	f.iends	
12-38	1699-1702	who	
12-39	1703-1706	ace	
12-40	1707-1714	deuroua	
12-41	1715-1717	of	
12-42	1718-1724	giving	
12-43	1725-1726	t	
12-44	1727-1731	ieir	
12-45	1732-1736	assi	
12-46	1737-1742	tanee	
12-47	1743-1745	to	
12-48	1746-1750	this	
12-49	1751-1762	undertaking	
12-50	1763-1766	are	
12-51	1767-1776	requested	
12-52	1777-1779	to	
12-53	1780-1783	smd	
12-54	1784-1786	in	
12-55	1787-1792	their	
12-56	1793-1798	names	
12-57	1799-1801	to	
12-58	1802-1805	the	
12-59	1806-1815	secretary	
12-60	1816-1818	of	
12-61	1819-1822	the	
12-62	1823-1826	Soc	
12-63	1826-1827	-	
12-64	1827-1828	,	
12-65	1829-1831	ty	
12-66	1832-1834	of	
12-67	1835-1839	Arts	
12-68	1840-1842	as	
12-69	1843-1846	eai	
12-70	1847-1849	ly	
12-71	1850-1852	as	
12-72	1853-1861	possible	
12-73	1861-1862	,	
12-74	1863-1867	with	
12-75	1868-1871	the	
12-76	1872-1876	sums	
12-77	1877-1881	they	
12-78	1882-1885	ara	
12-79	1886-1893	wil.iLg	
12-80	1894-1896	to	
12-81	1897-1906	guarantee	
12-82	1906-1907	.	

#Text=TXa,moUntBBU"anteea hy vary from £10,000 O £100.
13-1	1908-1911	TXa	
13-2	1911-1912	,	
13-3	1912-1927	moUntBBU"anteea	
13-4	1928-1930	hy	
13-5	1931-1935	vary	
13-6	1936-1940	from	
13-7	1941-1948	£10,000	
13-8	1949-1950	O	
13-9	1951-1955	£100	
13-10	1955-1956	.	
