#FORMAT=WebAnno TSV 3.2


#Text=FEMALE FASHIONS FOR NOVEMBER.
1-1	0-6	FEMALE	
2-97	527-530	the	
2-98	531-536	gelid	
2-99	537-543	season	
2-100	543-544	.	

#Text=The pelisses now most general are of light summer colours, but they must be expected to decline rapidly.
3-1	545-548	The	
3-2	549-557	pelisses	
3-3	558-561	now	
3-4	562-566	most	
3-5	567-574	general	
3-6	575-578	are	
3-7	579-581	of	
3-8	582-587	light	
3-9	588-594	summer	
3-10	595-602	colours	
3-11	602-603	,	
3-12	604-607	but	
3-13	608-612	they	
3-14	613-617	must	
3-15	618-620	be	
3-16	621-629	expected	
3-17	630-632	to	
3-18	633-640	decline	
3-19	641-648	rapidly	
3-20	648-649	.	

#Text=Morning dresses continue to be of white muslin, but they are con fined to the breakfast table; they are adorned with a profusion of lace, both at the border and curls; pelerine tippets, trimmed it the same costly manner, are generally worn with them ; they are sometimes worn under pelisses In carriage airings, but never continued through the day.
4-1	650-657	Morning	
4-2	658-665	dresses	
4-3	666-674	continue	
4-4	675-677	to	
4-5	678-680	be	
4-6	681-683	of	
4-7	684-689	white	
4-8	690-696	muslin	
4-9	696-697	,	
4-10	698-701	but	
4-11	702-706	they	
4-12	707-710	are	
4-13	711-714	con	
4-14	715-720	fined	
4-15	721-723	to	
4-16	724-727	the	
4-17	728-737	breakfast	
4-18	738-743	table	
4-19	743-744	;	
4-20	745-749	they	
4-21	750-753	are	
4-22	754-761	adorned	
4-23	762-766	with	
4-24	767-768	a	
4-25	769-778	profusion	
4-26	779-781	of	
4-27	782-786	lace	
4-28	786-787	,	
4-29	788-792	both	
4-30	793-795	at	
4-31	796-799	the	
4-32	800-806	border	
4-33	807-810	and	
4-34	811-816	curls	
4-35	816-817	;	
4-36	818-826	pelerine	
4-37	827-834	tippets	
4-38	834-835	,	
4-39	836-843	trimmed	
4-40	844-846	it	
4-41	847-850	the	
4-42	851-855	same	
4-43	856-862	costly	
4-44	863-869	manner	
4-45	869-870	,	
4-46	871-874	are	
4-47	875-884	generally	
4-48	885-889	worn	
4-49	890-894	with	
4-50	895-899	them	
4-51	900-901	;	
4-52	902-906	they	
4-53	907-910	are	
4-54	911-920	sometimes	
4-55	921-925	worn	
4-56	926-931	under	
4-57	932-940	pelisses	
4-58	941-943	In	
4-59	944-952	carriage	
4-60	953-960	airings	
4-61	960-961	,	
4-62	962-965	but	
4-63	966-971	never	
4-64	972-981	continued	
4-65	982-989	through	
4-66	990-993	the	
4-67	994-997	day	
4-68	997-998	.	

#Text=Dresses of grim de Naples, figured in large diamond chequers, are much hi vogue for demi parnre—in the make of there dresses, and in those lor home costume, there is nothing yet very novel; but one evening dress, which we have inspected, is remarkably elegant; it is of jonquil coloured crepe lisse, with a very full, puffed trimming of the same at the border; the puffs confined by scrolls of gauze, bound with satin; the skirt is finished in front a Iacadia, by rouleaux of jonquil satin, each edged with narrow blond ; the body is made plain and low, with a broad falling collar over the bust, edged with blond.
5-1	999-1006	Dresses	
5-2	1007-1009	of	
5-3	1010-1014	grim	
5-4	1015-1017	de	
5-5	1018-1024	Naples	
5-6	1024-1025	,	
5-7	1026-1033	figured	
5-8	1034-1036	in	
5-9	1037-1042	large	
5-10	1043-1050	diamond	
5-11	1051-1059	chequers	
5-12	1059-1060	,	
5-13	1061-1064	are	
5-14	1065-1069	much	
5-15	1070-1072	hi	
5-16	1073-1078	vogue	
5-17	1079-1082	for	
5-18	1083-1087	demi	
5-19	1088-1097	parnre—in	
5-20	1098-1101	the	
5-21	1102-1106	make	
5-22	1107-1109	of	
5-23	1110-1115	there	
5-24	1116-1123	dresses	
5-25	1123-1124	,	
5-26	1125-1128	and	
5-27	1129-1131	in	
5-28	1132-1137	those	
5-29	1138-1141	lor	
5-30	1142-1146	home	
5-31	1147-1154	costume	
5-32	1154-1155	,	
5-33	1156-1161	there	
5-34	1162-1164	is	
5-35	1165-1172	nothing	
5-36	1173-1176	yet	
5-37	1177-1181	very	
5-38	1182-1187	novel	
5-39	1187-1188	;	
5-40	1189-1192	but	
5-41	1193-1196	one	
5-42	1197-1204	evening	
5-43	1205-1210	dress	
5-44	1210-1211	,	
5-45	1212-1217	which	
5-46	1218-1220	we	
5-47	1221-1225	have	
5-48	1226-1235	inspected	
5-49	1235-1236	,	
5-50	1237-1239	is	
5-51	1240-1250	remarkably	
5-52	1251-1258	elegant	
5-53	1258-1259	;	
5-54	1260-1262	it	
5-55	1263-1265	is	
5-56	1266-1268	of	
5-57	1269-1276	jonquil	
5-58	1277-1285	coloured	
5-59	1286-1291	crepe	
5-60	1292-1297	lisse	
5-61	1297-1298	,	
5-62	1299-1303	with	
5-63	1304-1305	a	
5-64	1306-1310	very	
5-65	1311-1315	full	
5-66	1315-1316	,	
5-67	1317-1323	puffed	
5-68	1324-1332	trimming	
5-69	1333-1335	of	
5-70	1336-1339	the	
5-71	1340-1344	same	
5-72	1345-1347	at	
5-73	1348-1351	the	
5-74	1352-1358	border	
5-75	1358-1359	;	
5-76	1360-1363	the	
5-77	1364-1369	puffs	
5-78	1370-1378	confined	
5-79	1379-1381	by	
5-80	1382-1389	scrolls	
5-81	1390-1392	of	
5-82	1393-1398	gauze	
5-83	1398-1399	,	
5-84	1400-1405	bound	
5-85	1406-1410	with	
5-86	1411-1416	satin	
5-87	1416-1417	;	
5-88	1418-1421	the	
5-89	1422-1427	skirt	
5-90	1428-1430	is	
5-91	1431-1439	finished	
5-92	1440-1442	in	
5-93	1443-1448	front	
5-94	1449-1450	a	
5-95	1451-1458	Iacadia	
5-96	1458-1459	,	
5-97	1460-1462	by	
5-98	1463-1471	rouleaux	
5-99	1472-1474	of	
5-100	1475-1482	jonquil	
5-101	1483-1488	satin	
5-102	1488-1489	,	
5-103	1490-1494	each	
5-104	1495-1500	edged	
5-105	1501-1505	with	
5-106	1506-1512	narrow	
5-107	1513-1518	blond	
5-108	1519-1520	;	
5-109	1521-1524	the	
5-110	1525-1529	body	
5-111	1530-1532	is	
5-112	1533-1537	made	
5-113	1538-1543	plain	
5-114	1544-1547	and	
5-115	1548-1551	low	
5-116	1551-1552	,	
5-117	1553-1557	with	
5-118	1558-1559	a	
5-119	1560-1565	broad	
5-120	1566-1573	falling	
5-121	1574-1580	collar	
5-122	1581-1585	over	
5-123	1586-1589	the	
5-124	1590-1594	bust	
5-125	1594-1595	,	
5-126	1596-1601	edged	
5-127	1602-1606	with	
5-128	1607-1612	blond	
5-129	1612-1613	.	

#Text=The sleeves short and very full, composed of puffings and scrolls, to correspond with the trimming at the border of the dress.
6-1	1614-1617	The	
6-2	1618-1625	sleeves	
6-3	1626-1631	short	
6-4	1632-1635	and	
6-5	1636-1640	very	
6-6	1641-1645	full	
6-7	1645-1646	,	
6-8	1647-1655	composed	
6-9	1656-1658	of	
6-10	1659-1667	puffings	
6-11	1668-1671	and	
6-12	1672-1679	scrolls	
6-13	1679-1680	,	
6-14	1681-1683	to	
6-15	1684-1694	correspond	
6-16	1695-1699	with	
6-17	1700-1703	the	
6-18	1704-1712	trimming	
6-19	1713-1715	at	
6-20	1716-1719	the	
6-21	1720-1726	border	
6-22	1727-1729	of	
6-23	1730-1733	the	
6-24	1734-1739	dress	
6-25	1739-1740	.	

#Text=The most admired colours are Parma violet, ruby, jonquil, pink, celestial blue, the green of the hollybud, and bright geranium World of Fashion.
7-1	1741-1744	The	
7-2	1745-1749	most	
7-3	1750-1757	admired	
7-4	1758-1765	colours	
7-5	1766-1769	are	
7-6	1770-1775	Parma	
7-7	1776-1782	violet	
7-8	1782-1783	,	
7-9	1784-1788	ruby	
7-10	1788-1789	,	
7-11	1790-1797	jonquil	
7-12	1797-1798	,	
7-13	1799-1803	pink	
7-14	1803-1804	,	
7-15	1805-1814	celestial	
7-16	1815-1819	blue	
7-17	1819-1820	,	
7-18	1821-1824	the	
7-19	1825-1830	green	
7-20	1831-1833	of	
7-21	1834-1837	the	
7-22	1838-1846	hollybud	
7-23	1846-1847	,	
7-24	1848-1851	and	
7-25	1852-1858	bright	
7-26	1859-1867	geranium	
7-27	1868-1873	World	
7-28	1874-1876	of	
7-29	1877-1884	Fashion	
7-30	1884-1885	.	
