#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Customentity|identifiier|value


#Text=LONDON FASHIONS FOR FEBRUARY.
1-1	0-6	LONDON	https://en.wikipedia.org/wiki/London	LOC	
2-66	350-352	en	_	_	
2-67	353-359	gerlte	_	_	
2-68	359-360	,	_	_	
2-69	361-364	and	_	_	
2-70	365-372	brought	_	_	
2-71	373-381	together	_	_	
2-72	382-384	in	_	_	
2-73	385-386	a	_	_	
2-74	387-392	point	_	_	
2-75	393-398	under	_	_	
2-76	399-402	the	_	_	
2-77	403-407	belt	_	_	
2-78	408-411	The	_	_	
2-79	412-419	sleeves	_	_	
2-80	420-423	lit	_	_	
2-81	424-430	nearly	_	_	
2-82	431-436	close	_	_	
2-83	437-439	to	_	_	
2-84	440-443	the	_	_	
2-85	444-447	arm	_	_	
2-86	447-448	,	_	_	
2-87	449-452	and	_	_	
2-88	453-456	are	_	_	
2-89	457-467	surmounted	_	_	
2-90	468-470	by	_	_	
2-91	471-475	very	_	_	
2-92	476-480	full	_	_	
2-93	481-484	but	_	_	
2-94	485-490	plain	_	_	
2-95	491-501	mancherons	_	_	
2-96	502-503	;	_	_	
2-97	504-506	at	_	_	
2-98	507-510	the	_	_	
2-99	511-517	wrists	_	_	
2-100	518-521	are	_	_	
2-101	522-526	worn	_	_	
2-102	527-532	broad	_	_	
2-103	533-537	gold	_	_	
2-104	538-547	bracelets	_	_	
2-105	547-548	,	_	_	
2-106	549-557	fastened	_	_	
2-107	558-562	with	_	_	
2-108	563-564	a	_	_	
2-109	565-570	cameo	_	_	
2-110	570-571	.	_	_	

#Text=A very narrow tucker of v andyke blond surrounds th* bust The head-dress consists of a full dress cap, in the form of d fichu, of tulle and blond, brought in a point on the forehead, and the hair, which is arranged in very full curls, is ornamented on the right side, with one large full-blown Provence rose, with its foliage; and in the front of the cup is another rose, placed rather backward, yet entirely seen in front Hall Dress.
3-1	572-573	A	_	_	
3-2	574-578	very	_	_	
3-3	579-585	narrow	_	_	
3-4	586-592	tucker	_	_	
3-5	593-595	of	_	_	
3-6	596-597	v	_	_	
3-7	598-604	andyke	_	_	
3-8	605-610	blond	_	_	
3-9	611-620	surrounds	_	_	
3-10	621-623	th	_	_	
3-11	623-624	*	_	_	
3-12	625-629	bust	_	_	
3-13	630-633	The	_	_	
3-14	634-644	head-dress	_	_	
3-15	645-653	consists	_	_	
3-16	654-656	of	_	_	
3-17	657-658	a	_	_	
3-18	659-663	full	_	_	
3-19	664-669	dress	_	_	
3-20	670-673	cap	_	_	
3-21	673-674	,	_	_	
3-22	675-677	in	_	_	
3-23	678-681	the	_	_	
3-24	682-686	form	_	_	
3-25	687-689	of	_	_	
3-26	690-691	d	_	_	
3-27	692-697	fichu	_	_	
3-28	697-698	,	_	_	
3-29	699-701	of	_	_	
3-30	702-707	tulle	_	_	
3-31	708-711	and	_	_	
3-32	712-717	blond	_	_	
3-33	717-718	,	_	_	
3-34	719-726	brought	_	_	
3-35	727-729	in	_	_	
3-36	730-731	a	_	_	
3-37	732-737	point	_	_	
3-38	738-740	on	_	_	
3-39	741-744	the	_	_	
3-40	745-753	forehead	_	_	
3-41	753-754	,	_	_	
3-42	755-758	and	_	_	
3-43	759-762	the	_	_	
3-44	763-767	hair	_	_	
3-45	767-768	,	_	_	
3-46	769-774	which	_	_	
3-47	775-777	is	_	_	
3-48	778-786	arranged	_	_	
3-49	787-789	in	_	_	
3-50	790-794	very	_	_	
3-51	795-799	full	_	_	
3-52	800-805	curls	_	_	
3-53	805-806	,	_	_	
3-54	807-809	is	_	_	
3-55	810-820	ornamented	_	_	
3-56	821-823	on	_	_	
3-57	824-827	the	_	_	
3-58	828-833	right	_	_	
3-59	834-838	side	_	_	
3-60	838-839	,	_	_	
3-61	840-844	with	_	_	
3-62	845-848	one	_	_	
3-63	849-854	large	_	_	
3-64	855-865	full-blown	_	_	
3-65	866-874	Provence	_	_	
3-66	875-879	rose	_	_	
3-67	879-880	,	_	_	
3-68	881-885	with	_	_	
3-69	886-889	its	_	_	
3-70	890-897	foliage	_	_	
3-71	897-898	;	_	_	
3-72	899-902	and	_	_	
3-73	903-905	in	_	_	
3-74	906-909	the	_	_	
3-75	910-915	front	_	_	
3-76	916-918	of	_	_	
3-77	919-922	the	_	_	
3-78	923-926	cup	_	_	
3-79	927-929	is	_	_	
3-80	930-937	another	_	_	
3-81	938-942	rose	_	_	
3-82	942-943	,	_	_	
3-83	944-950	placed	_	_	
3-84	951-957	rather	_	_	
3-85	958-966	backward	_	_	
3-86	966-967	,	_	_	
3-87	968-971	yet	_	_	
3-88	972-980	entirely	_	_	
3-89	981-985	seen	_	_	
3-90	986-988	in	_	_	
3-91	989-994	front	_	_	
3-92	995-999	Hall	_	_	
3-93	1000-1005	Dress	_	_	
3-94	1005-1006	.	_	_	

#Text=—Over a white satin slip, a beautiful dress of gauze, of a shot lavender colour; the colour formed of gray lilac and pink intermingled, which combination imparts the most delightful gleam, that is particularly attractive bv candle light The border of the gauze aress is ornamented on the hem with a rich rouleaux of amcthysUcoloured satin, indented in diamonds ; an ornament perfectly novel, and well deserving the attention of ladies of taste and elegance.
4-1	1006-1007	—	_	_	
4-2	1007-1011	Over	_	_	
4-3	1012-1013	a	_	_	
4-4	1014-1019	white	_	_	
4-5	1020-1025	satin	_	_	
4-6	1026-1030	slip	_	_	
4-7	1030-1031	,	_	_	
4-8	1032-1033	a	_	_	
4-9	1034-1043	beautiful	_	_	
4-10	1044-1049	dress	_	_	
4-11	1050-1052	of	_	_	
4-12	1053-1058	gauze	_	_	
4-13	1058-1059	,	_	_	
4-14	1060-1062	of	_	_	
4-15	1063-1064	a	_	_	
4-16	1065-1069	shot	_	_	
4-17	1070-1078	lavender	_	_	
4-18	1079-1085	colour	_	_	
4-19	1085-1086	;	_	_	
4-20	1087-1090	the	_	_	
4-21	1091-1097	colour	_	_	
4-22	1098-1104	formed	_	_	
4-23	1105-1107	of	_	_	
4-24	1108-1112	gray	_	_	
4-25	1113-1118	lilac	_	_	
4-26	1119-1122	and	_	_	
4-27	1123-1127	pink	_	_	
4-28	1128-1140	intermingled	_	_	
4-29	1140-1141	,	_	_	
4-30	1142-1147	which	_	_	
4-31	1148-1159	combination	_	_	
4-32	1160-1167	imparts	_	_	
4-33	1168-1171	the	_	_	
4-34	1172-1176	most	_	_	
4-35	1177-1187	delightful	_	_	
4-36	1188-1193	gleam	_	_	
4-37	1193-1194	,	_	_	
4-38	1195-1199	that	_	_	
4-39	1200-1202	is	_	_	
4-40	1203-1215	particularly	_	_	
4-41	1216-1226	attractive	_	_	
4-42	1227-1229	bv	_	_	
4-43	1230-1236	candle	_	_	
4-44	1237-1242	light	_	_	
4-45	1243-1246	The	_	_	
4-46	1247-1253	border	_	_	
4-47	1254-1256	of	_	_	
4-48	1257-1260	the	_	_	
4-49	1261-1266	gauze	_	_	
4-50	1267-1272	aress	_	_	
4-51	1273-1275	is	_	_	
4-52	1276-1286	ornamented	_	_	
4-53	1287-1289	on	_	_	
4-54	1290-1293	the	_	_	
4-55	1294-1297	hem	_	_	
4-56	1298-1302	with	_	_	
4-57	1303-1304	a	_	_	
4-58	1305-1309	rich	_	_	
4-59	1310-1318	rouleaux	_	_	
4-60	1319-1321	of	_	_	
4-61	1322-1338	amcthysUcoloured	_	_	
4-62	1339-1344	satin	_	_	
4-63	1344-1345	,	_	_	
4-64	1346-1354	indented	_	_	
4-65	1355-1357	in	_	_	
4-66	1358-1366	diamonds	_	_	
4-67	1367-1368	;	_	_	
4-68	1369-1371	an	_	_	
4-69	1372-1380	ornament	_	_	
4-70	1381-1390	perfectly	_	_	
4-71	1391-1396	novel	_	_	
4-72	1396-1397	,	_	_	
4-73	1398-1401	and	_	_	
4-74	1402-1406	well	_	_	
4-75	1407-1416	deserving	_	_	
4-76	1417-1420	the	_	_	
4-77	1421-1430	attention	_	_	
4-78	1431-1433	of	_	_	
4-79	1434-1440	ladies	_	_	
4-80	1441-1443	of	_	_	
4-81	1444-1449	taste	_	_	
4-82	1450-1453	and	_	_	
4-83	1454-1462	elegance	_	_	
4-84	1462-1463	.	_	_	

#Text=Over this are three rouleaux of satin of the same brilliant purple, set on in festoons: the points confined by full bouquets of yellow China-astres, without foliage.
5-1	1464-1468	Over	_	_	
5-2	1469-1473	this	_	_	
5-3	1474-1477	are	_	_	
5-4	1478-1483	three	_	_	
5-5	1484-1492	rouleaux	_	_	
5-6	1493-1495	of	_	_	
5-7	1496-1501	satin	_	_	
5-8	1502-1504	of	_	_	
5-9	1505-1508	the	_	_	
5-10	1509-1513	same	_	_	
5-11	1514-1523	brilliant	_	_	
5-12	1524-1530	purple	_	_	
5-13	1530-1531	,	_	_	
5-14	1532-1535	set	_	_	
5-15	1536-1538	on	_	_	
5-16	1539-1541	in	_	_	
5-17	1542-1550	festoons	_	_	
5-18	1550-1551	:	_	_	
5-19	1552-1555	the	_	_	
5-20	1556-1562	points	_	_	
5-21	1563-1571	confined	_	_	
5-22	1572-1574	by	_	_	
5-23	1575-1579	full	_	_	
5-24	1580-1588	bouquets	_	_	
5-25	1589-1591	of	_	_	
5-26	1592-1598	yellow	_	_	
5-27	1599-1611	China-astres	_	_	
5-28	1611-1612	,	_	_	
5-29	1613-1620	without	_	_	
5-30	1621-1628	foliage	_	_	
5-31	1628-1629	.	_	_	

#Text=The corsage is plain, but is finished round the bust and at the hack, with the same gauze as the dress hoHiHoiu?
6-1	1630-1633	The	_	_	
6-2	1634-1641	corsage	_	_	
6-3	1642-1644	is	_	_	
6-4	1645-1650	plain	_	_	
6-5	1650-1651	,	_	_	
6-6	1652-1655	but	_	_	
6-7	1656-1658	is	_	_	
6-8	1659-1667	finished	_	_	
6-9	1668-1673	round	_	_	
6-10	1674-1677	the	_	_	
6-11	1678-1682	bust	_	_	
6-12	1683-1686	and	_	_	
6-13	1687-1689	at	_	_	
6-14	1690-1693	the	_	_	
6-15	1694-1698	hack	_	_	
6-16	1698-1699	,	_	_	
6-17	1700-1704	with	_	_	
6-18	1705-1708	the	_	_	
6-19	1709-1713	same	_	_	
6-20	1714-1719	gauze	_	_	
6-21	1720-1722	as	_	_	
6-22	1723-1726	the	_	_	
6-23	1727-1732	dress	_	_	
6-24	1733-1741	hoHiHoiu	_	_	
6-25	1741-1742	?	_	_	

#Text=, and the fullness confined by rouleaux of amethyst-coloured satin.
7-1	1742-1743	,	_	_	
7-2	1744-1747	and	_	_	
7-3	1748-1751	the	_	_	
7-4	1752-1760	fullness	_	_	
7-5	1761-1769	confined	_	_	
7-6	1770-1772	by	_	_	
7-7	1773-1781	rouleaux	_	_	
7-8	1782-1784	of	_	_	
7-9	1785-1802	amethyst-coloured	_	_	
7-10	1803-1808	satin	_	_	
7-11	1808-1809	.	_	_	

#Text=The sleeves arc short, full, and bonitlauts: the puckerings confined in bias by rouleaux of amethyst satin.
8-1	1810-1813	The	_	_	
8-2	1814-1821	sleeves	_	_	
8-3	1822-1825	arc	_	_	
8-4	1826-1831	short	_	_	
8-5	1831-1832	,	_	_	
8-6	1833-1837	full	_	_	
8-7	1837-1838	,	_	_	
8-8	1839-1842	and	_	_	
8-9	1843-1853	bonitlauts	_	_	
8-10	1853-1854	:	_	_	
8-11	1855-1858	the	_	_	
8-12	1859-1869	puckerings	_	_	
8-13	1870-1878	confined	_	_	
8-14	1879-1881	in	_	_	
8-15	1882-1886	bias	_	_	
8-16	1887-1889	by	_	_	
8-17	1890-1898	rouleaux	_	_	
8-18	1899-1901	of	_	_	
8-19	1902-1910	amethyst	_	_	
8-20	1911-1916	satin	_	_	
8-21	1916-1917	.	_	_	

#Text=A sash of the same chaste and lovely colour encircles the waist, with a handsome rosette behind and short ends.
9-1	1918-1919	A	_	_	
9-2	1920-1924	sash	_	_	
9-3	1925-1927	of	_	_	
9-4	1928-1931	the	_	_	
9-5	1932-1936	same	_	_	
9-6	1937-1943	chaste	_	_	
9-7	1944-1947	and	_	_	
9-8	1948-1954	lovely	_	_	
9-9	1955-1961	colour	_	_	
9-10	1962-1971	encircles	_	_	
9-11	1972-1975	the	_	_	
9-12	1976-1981	waist	_	_	
9-13	1981-1982	,	_	_	
9-14	1983-1987	with	_	_	
9-15	1988-1989	a	_	_	
9-16	1990-1998	handsome	_	_	
9-17	1999-2006	rosette	_	_	
9-18	2007-2013	behind	_	_	
9-19	2014-2017	and	_	_	
9-20	2018-2023	short	_	_	
9-21	2024-2028	ends	_	_	
9-22	2028-2029	.	_	_	

#Text=The hair is arranged very high on the summit of the head, and the loftier part brought rather forwarder than usual.
10-1	2030-2033	The	_	_	
10-2	2034-2038	hair	_	_	
10-3	2039-2041	is	_	_	
10-4	2042-2050	arranged	_	_	
10-5	2051-2055	very	_	_	
10-6	2056-2060	high	_	_	
10-7	2061-2063	on	_	_	
10-8	2064-2067	the	_	_	
10-9	2068-2074	summit	_	_	
10-10	2075-2077	of	_	_	
10-11	2078-2081	the	_	_	
10-12	2082-2086	head	_	_	
10-13	2086-2087	,	_	_	
10-14	2088-2091	and	_	_	
10-15	2092-2095	the	_	_	
10-16	2096-2103	loftier	_	_	
10-17	2104-2108	part	_	_	
10-18	2109-2116	brought	_	_	
10-19	2117-2123	rather	_	_	
10-20	2124-2133	forwarder	_	_	
10-21	2134-2138	than	_	_	
10-22	2139-2144	usual	_	_	
10-23	2144-2145	.	_	_	

#Text=The full curls on each side of the face are brought nearly as low as the tip of the ear; the rest of the tresses are disposed in braids and bands, intermixed with gold chain-work, finely wrought, and yellow China-astres.
11-1	2146-2149	The	_	_	
11-2	2150-2154	full	_	_	
11-3	2155-2160	curls	_	_	
11-4	2161-2163	on	_	_	
11-5	2164-2168	each	_	_	
11-6	2169-2173	side	_	_	
11-7	2174-2176	of	_	_	
11-8	2177-2180	the	_	_	
11-9	2181-2185	face	_	_	
11-10	2186-2189	are	_	_	
11-11	2190-2197	brought	_	_	
11-12	2198-2204	nearly	_	_	
11-13	2205-2207	as	_	_	
11-14	2208-2211	low	_	_	
11-15	2212-2214	as	_	_	
11-16	2215-2218	the	_	_	
11-17	2219-2222	tip	_	_	
11-18	2223-2225	of	_	_	
11-19	2226-2229	the	_	_	
11-20	2230-2233	ear	_	_	
11-21	2233-2234	;	_	_	
11-22	2235-2238	the	_	_	
11-23	2239-2243	rest	_	_	
11-24	2244-2246	of	_	_	
11-25	2247-2250	the	_	_	
11-26	2251-2258	tresses	_	_	
11-27	2259-2262	are	_	_	
11-28	2263-2271	disposed	_	_	
11-29	2272-2274	in	_	_	
11-30	2275-2281	braids	_	_	
11-31	2282-2285	and	_	_	
11-32	2286-2291	bands	_	_	
11-33	2291-2292	,	_	_	
11-34	2293-2303	intermixed	_	_	
11-35	2304-2308	with	_	_	
11-36	2309-2313	gold	_	_	
11-37	2314-2324	chain-work	_	_	
11-38	2324-2325	,	_	_	
11-39	2326-2332	finely	_	_	
11-40	2333-2340	wrought	_	_	
11-41	2340-2341	,	_	_	
11-42	2342-2345	and	_	_	
11-43	2346-2352	yellow	_	_	
11-44	2353-2365	China-astres	_	_	
11-45	2365-2366	.	_	_	
