#FORMAT=WebAnno TSV 3.2


#Text=A Umelogu is arravged and will shortly take jplace, between the Hon.
18-12	1083-1087	good	
18-13	1088-1092	year	
18-14	1092-1093	.	

#Text=If it be windy we shall have war.
19-1	1094-1096	If	
19-2	1097-1099	it	
19-3	1100-1102	be	
19-4	1103-1108	windy	
19-5	1109-1111	we	
19-6	1112-1117	shall	
19-7	1118-1122	have	
19-8	1123-1126	war	
19-9	1126-1127	.	

#Text=If it Bn- w or rain we shall have dearness everywhere; aud if tie atmosphere be thick and foggy it denotes gieat mortality."
20-1	1128-1130	If	
20-2	1131-1133	it	
20-3	1134-1136	Bn	
20-4	1136-1137	-	
20-5	1138-1139	w	
20-6	1140-1142	or	
20-7	1143-1147	rain	
20-8	1148-1150	we	
20-9	1151-1156	shall	
20-10	1157-1161	have	
20-11	1162-1170	dearness	
20-12	1171-1181	everywhere	
20-13	1181-1182	;	
20-14	1183-1186	aud	
20-15	1187-1189	if	
20-16	1190-1193	tie	
20-17	1194-1204	atmosphere	
20-18	1205-1207	be	
20-19	1208-1213	thick	
20-20	1214-1217	and	
20-21	1218-1223	foggy	
20-22	1224-1226	it	
20-23	1227-1234	denotes	
20-24	1235-1240	gieat	
20-25	1241-1250	mortality	
20-26	1250-1251	.	
20-27	1251-1252	"	
